Año,Producto_Agropecuario,Consumo_Hogares
1925-12-31,3653.4940049232614,12959.461697299184
1926-12-31,4067.632300512389,13676.48109448582
1927-12-31,4010.901027144015,14269.57121314637
1928-12-31,4337.105849012163,14304.979578439536
1929-12-31,4393.837122380537,15384.934719881136
1930-12-31,4612.2525248487755,14127.9377519737
1931-12-31,4385.327431375281,14588.246500784877
1932-12-31,4646.2912888698,14207.606573883328
1933-12-31,4904.4185826959,17155.352984539495
1934-12-31,5009.371438427391,19872.945020790074
1935-12-31,5083.122093806277,19209.03817154319
1936-12-31,5366.778460648145,19943.76175137641
1937-12-31,5344.085951300795,20395.21840886429
1938-12-31,5650.434827490013,21643.363285448435
1939-12-31,5741.204864879411,24661.926426690938
1940-12-31,5871.68679362667,22395.791047928236
1941-12-31,5951.110576342393,25485.17091975707
1942-12-31,6138.323778458026,23210.18344967108
1943-12-31,6007.841849710767,21324.687997809928
1944-12-31,6317.027289568403,25432.05837181732
1945-12-31,6543.9523830418975,24688.48270066081
1946-12-31,6992.129442652049,30734.461074469105
1947-12-31,7250.256736478149,29796.139394200178
1948-12-31,7267.276118488661,30265.30023433464
1949-12-31,7738.145687446163,40312.42388627082
1950-12-31,7814.537342498188,40710.39168168555
1951-12-31,7911.774036061767,40915.65105847103
1952-12-31,8451.289930595432,43584.02295668207
1953-12-31,8468.03546827136,46156.77942577902
1954-12-31,8693.748429886384,50308.85174719292
1955-12-31,8903.560166649477,52272.84434521212
1956-12-31,9186.264243884254,53294.3419991067
1957-12-31,9749.13945988182,54471.63004329527
1958-12-31,10055.906452600491,55393.82055266594
1959-12-31,10560.664802546307,58233.85721743318
1960-12-31,10571.50015045426,60947.26804364391
1961-12-31,10986.761341056465,64897.034360600184
1962-12-31,11345.735010058908,70258.51265026802
1963-12-31,11408.49559664264,73793.69932670257
1964-12-31,12051.158374507855,80460.93735682039
1965-12-31,12044.966747131884,79515.48904036792
1966-12-31,12449.674027434134,86839.85241343199
1967-12-31,13087.552365963373,88012.3412275878
1968-12-31,13978.02095767152,93314.75207069868
1969-12-31,14422.973815917594,100706.67383576228
1970-12-31,15043.68446035891,108493.23997813465
1971-12-31,15166.516849877717,116781.83055907318
1972-12-31,16351.965288346935,123566.03977560988
1973-12-31,16738.616929568077,129559.89320789436
1974-12-31,17667.198893100176,137377.4587951618
1975-12-31,18688.67767952307,141442.28371490398
1976-12-31,19259.191639646575,151307.2379413285
1977-12-31,19888.611069586488,157417.5190899973
1978-12-31,21502.620942556063,170637.6205790329
1979-12-31,22544.37866121083,177993.82322378145
1980-12-31,23043.43352680296,185848.587707985
1981-12-31,23781.3935273554,191265.13358392383
1982-12-31,23331.008099119783,194090.8004433929
1983-12-31,23986.307309241332,194966.66538034228
1984-12-31,24407.143436224786,200549.39853609947
1985-12-31,24809.05255979182,204312.28435733457
1986-12-31,25646.475894624426,210922.5766531311
1987-12-31,27283.854822832644,218883.62370000916
1988-12-31,28039.38989798605,227067.3810259461
1989-12-31,29244.731003311303,234402.81026071735
1990-12-31,30948.54757616491,241473.4992939176
1991-12-31,32237.32200267275,245267.78678139744
1992-12-31,31643.63211999853,252710.94788651605
1993-12-31,32668.00789674026,268126.26739733777
1994-12-31,34140.62065404638,284087.9105045761
1995-12-31,35362.65070613921,298424.8235139942
1996-12-31,34396.931719023814,301600.9267167883
1997-12-31,34174.74877046953,308683.04846042866
1998-12-31,34245.32250300202,306040.7384089895
1999-12-31,33956.46010145122,289223.81342423783
2000-12-31,34050.809824440024,309469.18215544225
2001-12-31,34652.7066793508,314266.7952976497
2002-12-31,36229.67643921704,320498.74638958933
2003-12-31,37349.20458935109,329983.8844442695
2004-12-31,38461.20902879875,342744.54620395537
2005-12-31,37909.000004179645,348741.0001919974
2006-12-31,38717.00000000005,366266
2007-12-31,40239.00000000001,389387.99999999977
2008-12-31,39914.99999999999,405167.0000000005
2009-12-31,39821.999999999985,412391
2010-12-31,39942.999999999985,432229.000000001
2011-12-31,40706,455530
2012-12-31,41725,480705.999999999
2013-12-31,44835,502987.999999999
2014-12-31,46139.9999999999,524642
2015-12-31,48124,543365.9999999991
2016-12-31,49441,552659
2017-12-31,52198,565536.000000001
2018-12-31,53030,583050
2019-12-31,54471,606642
2020-12-31,55539,580188.0000000009
2021-12-31,57968,661333.000000002
2022-12-31,57442,734873.9999999991
2023-12-31,58388.9999999999,739468.0000000009
2024-12-31,61967,752222.999999999
2025-12-31,63888.1209540664,779829.83567509
